subset,primary_keys,primary_key_value,source_snapshot_id,conflict_type,rows_in_conflict
snapshots,snapshot_timestamp_utc,2026-02-02 07:07:22.990272+00:00,2026-02-02,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-02 08:07:23.003325+00:00,2026-02-02,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-02 09:07:22.975486+00:00,2026-02-02,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-02 10:07:23.272105+00:00,2026-02-02,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-02 11:07:22.805692+00:00,2026-02-02,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-02 12:07:22.964113+00:00,2026-02-02,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-02 13:07:23.021284+00:00,2026-02-02,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-02 14:07:23.032337+00:00,2026-02-02,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-02 15:07:23.086428+00:00,2026-02-02,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-02 16:07:22.977870+00:00,2026-02-02,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-02 17:07:23.030222+00:00,2026-02-02,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-02 18:07:23.033601+00:00,2026-02-02,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-02 19:53:58.216517+00:00,2026-02-02,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-02 20:53:58.057193+00:00,2026-02-02,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-02 21:53:58.217265+00:00,2026-02-02,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-02 22:53:58.212202+00:00,2026-02-02,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-02 23:53:58.229489+00:00,2026-02-02,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-03 00:53:58.231727+00:00,2026-02-03,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-03 01:53:58.209488+00:00,2026-02-03,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-03 02:53:58.207905+00:00,2026-02-03,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-03 03:53:57.829035+00:00,2026-02-03,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-03 04:53:57.876733+00:00,2026-02-03,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-03 05:53:57.926935+00:00,2026-02-03,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-03 06:53:58.188575+00:00,2026-02-03,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-03 07:53:58.244601+00:00,2026-02-03,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-03 08:53:58.200449+00:00,2026-02-03,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-03 09:53:58.225231+00:00,2026-02-03,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-03 10:53:58.205303+00:00,2026-02-03,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-03 11:53:58.672700+00:00,2026-02-03,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-03 12:53:58.324979+00:00,2026-02-03,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-03 13:53:58.193584+00:00,2026-02-03,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-03 14:53:58.221818+00:00,2026-02-03,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-03 15:53:58.158750+00:00,2026-02-03,same_snapshot_conflict,2
